,Request Date (Local),Unnamed: 0,Employee ID,Distance (mi),Duration (min),Fare in KES,Service and Technology Fee,Total Charge in KES
225,2018-11-01,74,38.0,25.37,80,1822.0,91.1,1913.1
226,2018-12-01,141,85.0,22.4,127,1990.0,99.5,2089.5
227,2018-01-13,27,9.0,4.37,22,400.0,20.0,420.0
228,2018-01-15,326,133.0,55.07,237,4348.0,217.4,4565.4
229,2018-01-16,387,114.0,48.39,180,3566.0,178.3,3744.3
230,2018-01-17,303,69.0,39.49,128,2933.0,146.65,3079.65
231,2018-01-18,585,142.0,31.650000000000002,112,2988.0,149.4,3137.4
232,2018-01-19,612,121.0,49.37,177,3909.0,195.45,4104.45
233,2018-01-22,693,118.0,65.55,196,4460.0,223.0,4683.0
234,2018-01-23,595,102.0,18.0,110,2079.0,103.95,2182.95
235,2018-01-24,1134,195.0,49.410000000000004,202,4296.0,214.79999999999998,4510.8
236,2018-01-25,728,149.0,35.22,165,2924.0,146.2,3070.2
237,2018-01-26,892,148.0,26.91,151,3370.0,168.5,3538.5
238,2018-01-29,956,120.0,32.62,137,2953.0,147.65,3100.65
239,2018-01-30,124,11.0,15.35,45,742.0,37.1,779.1
240,2018-01-31,1028,104.0,33.19,144,3037.0,151.85,3188.85
241,2018-01-02,1233,148.0,34.94,164,2965.0,148.25,3113.25
242,2018-02-02,867,72.0,22.56,109,2111.0,105.55,2216.55
243,2018-05-02,447,37.0,21.28,52,1602.0,80.1,1682.1
244,2018-06-02,1555,191.0,44.41,227,4500.0,225.0,4725.0
245,2018-07-02,981,91.0,28.45,131,2757.0,137.85,2894.85
246,2018-08-02,674,60.0,23.75,85,1754.0,87.7,1841.7
247,2018-09-02,690,54.0,20.79,92,1584.0,79.2,1663.2
248,2018-10-02,175,9.0,10.6,22,733.0,36.65,769.65
249,2018-12-02,1436,86.0,55.25,170,3921.0,196.05,4117.05
250,2018-02-13,2274,101.0,57.55,215,4633.0,231.65,4864.65
251,2018-02-26,591,71.0,24.94,70,1585.0,79.25,1664.25
252,2018-02-27,1830,150.0,90.06,251,5045.0,252.25,5297.25
253,2018-02-28,1269,119.0,27.8,98,2013.0,100.65,2113.65
254,2018-01-03,1753,95.0,52.57,184,3121.0,156.05,3277.05
255,2018-02-03,2052,98.0,41.95,199,3573.0,178.64999999999998,3751.6499999999996
256,2018-05-03,1652,71.0,26.79,104,2725.0,136.25,2861.25
257,2018-06-03,2946,224.0,97.96,390,11830.0,591.5,12421.5
258,2018-07-03,1785,134.0,27.01,117,2894.0,144.7,3038.7
259,2018-08-03,2100,78.0,22.18,141,2234.0,111.7,2345.7
260,2018-09-03,2164,140.0,28.759999999999998,242,2893.0,144.65,3037.65
261,2018-12-03,2228,138.0,43.81,154,3174.0,158.7,3332.7
262,2018-03-13,2875,142.0,65.09,169,4667.0,233.35,4900.35
263,2018-03-14,1178,45.0,48.68,145,3005.0,150.25,3155.25
264,2018-03-15,1495,45.0,23.45,112,2287.0,114.35,2401.35
265,2018-03-16,605,14.0,6.15,18,590.0,29.5,619.5
266,2018-03-19,609,21.0,14.69,34,610.0,30.5,640.5
267,2018-03-20,921,34.0,10.559999999999999,55,910.0,45.5,955.5
268,2018-03-21,1242,36.0,14.09,42,940.0,47.0,987.0
269,2018-03-22,2532,80.0,26.39,130,1804.0,90.2,1894.2
270,2018-03-23,2925,121.0,50.33,172,3752.0,187.6,3939.6
271,2018-03-26,3685,160.0,61.35,227,5487.0,274.35,5761.35
272,2018-03-27,2061,70.0,43.32,119,2843.0,142.15,2985.15
273,2018-03-28,3159,98.0,40.73,156,3304.0,165.2,3469.2
274,2018-03-29,3240,143.0,26.41,143,2644.0,132.2,2776.2
275,2018-03-04,3321,137.0,62.12,166,4320.0,216.0,4536.0
276,2018-04-04,374,7.0,5.66,20,460.0,23.0,483.0
277,2018-05-04,2265,108.0,59.57,196,4027.0,201.35000000000002,4228.35
278,2018-06-04,2688,81.0,45.07,165,3169.0,158.45,3327.45
279,2018-09-04,2737,114.0,25.88,80,2043.0,102.15,2145.15
280,2018-10-04,2385,78.0,82.69999999999999,175,4989.0,249.45,5238.45
281,2018-11-04,4878,206.0,78.22999999999999,322,5975.0,298.75,6273.75
282,2018-12-04,3753,122.0,55.57,267,4362.0,218.1,4580.1
283,2018-04-13,3404,141.0,72.09,223,4719.0,235.95,4954.95
